"traffic_volume","t","temp_F_clean","holiday_ind"
5545,1,59.234,0
4516,2,61.1780000000001,0
4767,3,61.574,0
5026,4,62.564,0
4918,5,64.382,0
5181,6,65.4260000000001,0
5584,7,68.0360000000001,0
6015,8,69.2780000000001,0
5791,9,69.782,0
4770,10,67.9100000000001,0
3539,11,64.0760000000001,0
2784,12,61.214,0
2361,13,59.8280000000001,0
1529,14,57.2180000000001,0
963,15,54.14,0
506,16,52.664,0
321,17,50.5760000000001,0
273,18,46.4540000000001,0
367,19,46.292,0
814,20,43.484,0
2718,21,41.846,0
5673,22,41.1440000000001,0
6511,23,40.946,0
5471,24,48.7940000000001,0
5097,25,65.8760000000001,0
4887,26,68.1440000000001,0
5337,27,70.0880000000001,0
5692,28,71.6360000000001,0
6137,29,71.564,0
4623,30,68.9180000000001,0
3591,31,63.5,0
2898,32,59.072,0
2637,33,57.1100000000001,0
1777,34,55.58,0
1015,35,53.798,0
598,36,52.5200000000001,0
369,37,50.5760000000001,0
312,38,50.0360000000001,0
367,39,48.0020000000001,0
835,40,47.372,0
2726,41,46.706,0
5689,42,45.6620000000001,0
6990,43,45.356,0
5985,44,47.6780000000001,0
5309,45,53.2940000000001,0
4603,46,60.8540000000001,0
4884,47,65.1200000000001,0
5104,48,71.2760000000001,0
5178,49,73.814,0
5501,50,75.506,0
5713,51,77.0360000000001,0
6292,52,76.8380000000001,0
6057,53,76.1360000000001,0
4907,54,73.7780000000001,0
3503,55,69.2600000000001,0
3037,56,66.7040000000001,0
2822,57,65.516,0
1992,58,64.7780000000001,0
1166,59,64.346,0
627,60,63.464,0
388,61,63.158,0
368,62,60.998,0
2489,63,50.108,0
5537,64,48.3620000000001,0
6628,65,47.372,0
5534,66,45.356,0
5403,67,44.366,0
4770,68,44.5280000000001,0
5217,69,44.33,0
5870,70,45.284,0
5967,71,46.9040000000001,0
6108,72,47.534,0
6128,73,47.7680000000001,0
6069,74,47.4440000000001,0
6169,75,46.8860000000001,0
5384,76,45.8960000000001,0
4063,77,44.6,0
3364,78,43.934,0
2971,79,43.7,0
2450,80,42.9260000000001,0
1832,81,42.638,0
1231,82,42.188,0
718,83,41.7200000000001,0
545,84,41.792,0
411,85,38.9120000000001,0
688,86,37.7600000000001,0
1352,87,36.05,0
2072,88,35.6360000000001,0
3342,89,35.3120000000001,0
4258,90,35.492,0
4861,91,38.714,0
5191,92,40.8020000000001,0
5669,93,42.674,0
5074,94,44.546,0
5025,95,44.78,0
5153,96,44.33,0
5024,97,42.638,0
4779,98,42.3680000000001,0
4362,99,41.432,0
3860,100,41.0180000000001,0
3160,101,41.0180000000001,0
2992,102,40.6040000000001,0
3202,103,38.75,0
1941,104,37.742,0
1233,105,37.3280000000001,0
323,106,36.6440000000001,0
312,107,36.5,0
627,108,36.248,0
1508,109,35.4200000000001,0
1539,110,34.916,0
2232,111,34.916,0
4568,112,36.3200000000001,0
4624,113,37.5620000000001,0
4529,114,38.948,0
5139,115,39.7040000000001,0
6640,116,41.54,0
6589,117,43.016,0
4429,118,43.016,0
4329,119,43.322,0
3833,120,43.106,0
4015,121,43.016,0
3382,122,40.9280000000001,0
2815,123,38.5520000000001,0
2110,124,36.6440000000001,0
1555,125,35.114,0
959,126,33.3860000000001,0
455,127,31.874,1
336,128,31.046,0
265,129,29.534,0
314,130,28.2200000000001,0
779,131,27.464,0
2571,132,26.924,0
5563,133,25.6280000000001,0
6676,134,26.348,0
5966,135,28.5440000000001,0
4832,136,33.008,0
4395,137,38.516,0
4411,138,43.3760000000001,0
4648,139,44.042,0
