"traffic_volume","temp_l1","holiday_l1"
4516,59.234,0
4767,61.1780000000001,0
5026,61.574,0
4918,62.564,0
5181,64.382,0
5584,65.4260000000001,0
6015,68.0360000000001,0
5791,69.2780000000001,0
4770,69.782,0
3539,67.9100000000001,0
2784,64.0760000000001,0
2361,61.214,0
1529,59.8280000000001,0
963,57.2180000000001,0
506,54.14,0
321,52.664,0
273,50.5760000000001,0
367,46.4540000000001,0
814,46.292,0
2718,43.484,0
5673,41.846,0
6511,41.1440000000001,0
5471,40.946,0
5097,48.7940000000001,0
4887,65.8760000000001,0
5337,68.1440000000001,0
5692,70.0880000000001,0
6137,71.6360000000001,0
4623,71.564,0
3591,68.9180000000001,0
2898,63.5,0
2637,59.072,0
1777,57.1100000000001,0
1015,55.58,0
598,53.798,0
369,52.5200000000001,0
312,50.5760000000001,0
367,50.0360000000001,0
835,48.0020000000001,0
2726,47.372,0
5689,46.706,0
6990,45.6620000000001,0
5985,45.356,0
5309,47.6780000000001,0
4603,53.2940000000001,0
4884,60.8540000000001,0
5104,65.1200000000001,0
5178,71.2760000000001,0
5501,73.814,0
5713,75.506,0
6292,77.0360000000001,0
6057,76.8380000000001,0
4907,76.1360000000001,0
3503,73.7780000000001,0
3037,69.2600000000001,0
2822,66.7040000000001,0
1992,65.516,0
1166,64.7780000000001,0
627,64.346,0
388,63.464,0
368,63.158,0
2489,60.998,0
5537,50.108,0
6628,48.3620000000001,0
5534,47.372,0
5403,45.356,0
4770,44.366,0
5217,44.5280000000001,0
5870,44.33,0
5967,45.284,0
6108,46.9040000000001,0
6128,47.534,0
6069,47.7680000000001,0
6169,47.4440000000001,0
5384,46.8860000000001,0
4063,45.8960000000001,0
3364,44.6,0
2971,43.934,0
2450,43.7,0
1832,42.9260000000001,0
1231,42.638,0
718,42.188,0
545,41.7200000000001,0
411,41.792,0
688,38.9120000000001,0
1352,37.7600000000001,0
2072,36.05,0
3342,35.6360000000001,0
4258,35.3120000000001,0
4861,35.492,0
5191,38.714,0
5669,40.8020000000001,0
5074,42.674,0
5025,44.546,0
5153,44.78,0
5024,44.33,0
4779,42.638,0
4362,42.3680000000001,0
3860,41.432,0
3160,41.0180000000001,0
2992,41.0180000000001,0
3202,40.6040000000001,0
1941,38.75,0
1233,37.742,0
323,37.3280000000001,0
312,36.6440000000001,0
627,36.5,0
1508,36.248,0
1539,35.4200000000001,0
2232,34.916,0
4568,34.916,0
4624,36.3200000000001,0
4529,37.5620000000001,0
5139,38.948,0
6640,39.7040000000001,0
6589,41.54,0
4429,43.016,0
4329,43.016,0
3833,43.322,0
4015,43.106,0
3382,43.016,0
2815,40.9280000000001,0
2110,38.5520000000001,0
1555,36.6440000000001,0
959,35.114,0
455,33.3860000000001,0
336,31.874,1
265,31.046,0
314,29.534,0
779,28.2200000000001,0
2571,27.464,0
5563,26.924,0
6676,25.6280000000001,0
5966,26.348,0
4832,28.5440000000001,0
4395,33.008,0
4411,38.516,0
4648,43.3760000000001,0
4602,44.042,0
5125,48.542,0
5502,49.622,0
5979,50.5940000000001,0
5663,52.124,0
4259,52.3940000000001,0
3069,51.9440000000001,0
2378,47.9120000000001,0
2030,43.988,0
1400,43.1600000000001,0
917,42.35,0
515,41.558,0
302,40.334,0
251,39.416,0
798,39.7760000000001,0
2678,38.8760000000001,0
5733,38.066,0
